Interval,experiment ID,Order correctness,correct odr,actual odr,request time from VM,start time from Lambda,expected invocation time,actual invocation time,DELTA,Distribution,
10ms,2c639e5a-6dd5-4a68-870a-1a1cd2243efa,TRUE,Worker1,Worker1,1733802270010,1733802270037,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802270020,1733802270046,10,9,1,,
,,,Worker3,Worker3,1733802270031,1733802270056,20,19,1,,
10ms,7d7de649-9406-495e-9a2e-62524338e3c4,TRUE,Worker1,Worker1,1733802193011,1733802193057,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802193021,1733802193062,10,5,5,,
,,,Worker3,Worker3,1733802193030,1733802193064,20,7,13,,
10ms,a106cb86-dc70-4dc4-a9d5-a7e0abff5d5c,TRUE,Worker1,Worker1,1733802232010,1733802232035,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802232020,1733802232045,10,10,0,,
,,,Worker3,Worker3,1733802232030,1733802232060,20,25,5,,
10ms,b6b1528a-7479-44d8-934e-b91e932e4337,TRUE,Worker1,Worker1,1733802308011,1733802308041,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802308020,1733802308050,10,9,1,,
,,,Worker3,Worker3,1733802308031,1733802308054,20,13,7,,
10ms,470a50b7-2c4c-49d9-bb44-550b8ed8bb5d,TRUE,Worker1,Worker1,1733802348010,1733802348035,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802348021,1733802348053,10,18,8,,
,,,Worker3,Worker3,1733802348031,1733802348055,20,20,0,,
10ms,b6492c37-3590-4a91-ad8e-57071bdc5504,TRUE,Worker1,Worker1,1733802388011,1733802388038,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802388021,1733802388051,10,13,3,,
,,,Worker3,Worker3,1733802388031,1733802388052,20,14,6,,
10ms,a22ed426-601b-4629-9dd2-c7fac260d94a,TRUE,Worker1,Worker1,1733802428010,1733802428036,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802428020,1733802428050,10,14,4,,
,,,Worker3,Worker3,1733802428030,1733802428056,20,20,0,,
10ms,131c0cb8-1b16-400d-a1fc-51dba34c0e99,FALSE,Worker1,Worker2,1733802469010,1733802469037,0,0,0,same AZ (us-east-2c),Invocation times from Worker1 and Worker2 are identical
,,,Worker2,Worker1,1733802469020,1733802469037,10,0,10,,
,,,Worker3,Worker3,1733802469031,1733802469056,20,19,1,,
10ms,731b2475-70b6-412d-a1e9-30b32721dc78,TRUE,Worker1,Worker1,1733802509010,1733802509039,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802509021,1733802509042,10,3,7,,
,,,Worker3,Worker3,1733802509031,1733802509051,20,12,8,,
10ms,f10625e6-43bc-4036-92f2-0174fa5dd2d6,TRUE,Worker1,Worker1,1733802548011,1733802548041,0,0,0,same AZ (us-east-2c),
,,,Worker2,Worker2,1733802548021,1733802548045,10,4,6,,
,,,Worker3,Worker3,1733802548031,1733802548061,20,20,0,,
,,,,,,,,,2.866666667,,
100ms,6c5a1d67-5734-4289-981c-0013b87f5913,TRUE,Worker1,Worker1,1733816508101,1733816508132,0,0,,same AZ (us-east-2c),
,,,Worker2,Worker2,1733816508200,1733816508241,100,109,,,
,,,Worker3,Worker3,1733816508301,1733816508327,200,195,,,
,,,Worker1,Worker1,1733816508401,1733816508417,300,285,,,
,,,Worker2,Worker2,1733816508500,1733816508520,400,388,,,
,,,Worker3,Worker3,1733816508600,1733816508613,500,481,,,
,,,Worker1,Worker1,1733816508700,1733816508715,600,583,,,
,,,Worker2,Worker2,1733816508801,1733816508822,700,690,,,
,,,Worker3,Worker3,1733816508900,1733816508918,800,786,,,
100ms,9a1a1985-b2dc-4dbb-b451-8ddf642364a4,TRUE,Worker1,Worker1,1733816546100,1733816546123,0,0,,same AZ (us-east-2c),
,,,Worker2,Worker2,1733816546201,1733816546222,100,99,,,
,,,Worker3,Worker3,1733816546300,1733816546324,200,201,,,
,,,Worker1,Worker1,1733816546400,1733816546415,300,292,,,
,,,Worker2,Worker2,1733816546501,1733816546515,400,392,,,
,,,Worker3,Worker3,1733816546601,1733816546613,500,490,,,
,,,Worker1,Worker1,1733816546700,1733816546715,600,592,,,
,,,Worker2,Worker2,1733816546801,1733816546815,700,692,,,
,,,Worker3,Worker3,1733816546900,1733816546914,800,791,,,
100ms,13c485dc-922c-4b4c-be3b-fc14e1d145cb,TRUE,Worker1,Worker1,1733816586100,1733816586127,0,0,,same AZ (us-east-2c),
,,,Worker2,Worker2,1733816586200,1733816586225,100,98,,,
,,,Worker3,Worker3,1733816586301,1733816586324,200,197,,,
,,,Worker1,Worker1,1733816586401,1733816586417,300,290,,,
,,,Worker2,Worker2,1733816586501,1733816586515,400,388,,,
,,,Worker3,Worker3,1733816586601,1733816586611,500,484,,,
,,,Worker1,Worker1,1733816586701,1733816586717,600,590,,,
,,,Worker2,Worker2,1733816586801,1733816586812,700,685,,,
,,,Worker3,Worker3,1733816586901,1733816586909,800,782,,,
100ms,1282e898-0b1c-4f6f-a42b-a79ee32e64dd,TRUE,Worker1,Worker1,1733816626100,1733816626119,0,0,,same AZ (us-east-2c),
,,,Worker2,Worker2,1733816626200,1733816626221,100,102,,,
,,,Worker3,Worker3,1733816626300,1733816626316,200,197,,,
,,,Worker1,Worker1,1733816626400,1733816626416,300,297,,,
,,,Worker2,Worker2,1733816626500,1733816626518,400,399,,,
,,,Worker3,Worker3,1733816626600,1733816626609,500,490,,,
,,,Worker1,Worker1,1733816626700,1733816626714,600,595,,,
,,,Worker2,Worker2,1733816626800,1733816626815,700,696,,,
,,,Worker3,Worker3,1733816626900,1733816626906,800,787,,,
100ms,cb86cc1f-2a07-4faa-ad6b-ebda5e1bdca6,TRUE,Worker1,Worker1,1733816665101,1733816665118,0,0,,same AZ (us-east-2c),
,,,Worker2,Worker2,1733816665201,1733816665252,100,134,,,
,,,Worker3,Worker3,1733816665301,1733816665319,200,201,,,
,,,Worker1,Worker1,1733816665401,1733816665413,300,295,,,
,,,Worker2,Worker2,1733816665501,1733816665547,400,429,,,
,,,Worker3,Worker3,1733816665601,1733816665609,500,491,,,
,,,Worker1,Worker1,1733816665701,1733816665711,600,593,,,
,,,Worker2,Worker2,1733816665801,1733816665847,700,729,,,
